"file name,","file size,","number of words,","% negative,","# of alphabetic,","# of digits,","# of numbers,","average word length,",vocabulary
./files\20120724_10-K_edgar_data_320187_0001193125-12-312306_1.txt,12966294,498875,1.545878226008519,7518411,1046803,220933,4.928372838887497,2027
./files\20120726_10-K_edgar_data_789019_0001193125-12-316848_1.txt,17227772,565650,1.7360558649341464,9764874,1293799,306564,4.851864226995492,1867
./files\20120808_10-K_edgar_data_80424_0000080424-12-000063_1.txt,20871611,925787,1.3549552974928358,12647718,1765092,282047,5.0289645458404575,1933
./files\20120912_10-K_edgar_data_858877_0001193125-12-388590_1.txt,20547000,759862,1.6060811042004994,11984813,1469019,332247,4.7529985707931175,2113
./files\20121031_10-K_edgar_data_320193_0001193125-12-444068_1.txt,9859755,351771,1.7409053048716352,5707912,728568,161314,4.75789362966248,1606
./files\20121116_10-K_edgar_data_1403161_0001384108-12-000011_1.txt,21352959,892638,2.0907691583822334,13010359,1822882,275237,5.010572034800221,1964
./files\20121227_10-K_edgar_data_47217_0001047469-12-011417_1.txt,28346359,980336,1.335970524391637,17064303,1922524,450943,4.869083661112109,2104
./files\20130207_10-K_edgar_data_101829_0001193125-13-042195_1.txt,26048117,1129894,1.1041743738793197,14476408,2200984,390557,4.835950097973792,1945
./files\20130207_10-K_edgar_data_30554_0000030554-13-000006_1.txt,28490145,1211697,1.1178537208559567,17011607,2581502,400084,5.047818060125593,2019
./files\20130207_10-K_edgar_data_731766_0000731766-13-000005_1.txt,26597845,1151021,2.078849994917556,16143741,2288108,355298,5.113146502105522,2151
./files\20130211_10-K_edgar_data_12927_0000012927-13-000014_1.txt,27422897,1121276,1.8604696791869262,16479375,2389704,370258,5.042234918075478,1858
./files\20130214_10-K_edgar_data_66740_0001104659-13-010881_1.txt,35524954,1553340,0.9423564705730877,20343083,3229636,582171,4.8389721503341185,2000
./files\20130215_10-K_edgar_data_1467858_0001467858-13-000025_1.txt,71814845,3109750,1.9769113272771124,42892027,6178423,985778,5.12330315941796,2502
./files\20130219_10-K_edgar_data_18230_0000018230-13-000075_1.txt,74205943,3044731,2.1325036596007987,43839889,6617262,1133203,5.079694725084088,2260
./files\20130219_10-K_edgar_data_50863_0001193125-13-065416_1.txt,25626734,1028337,1.1424270448306344,14399517,2233260,415140,4.790074654515008,1911
./files\20130219_10-K_edgar_data_86312_0001047469-13-001211_1.txt,28640112,1051327,1.4066032737673435,16458956,2137899,515224,4.966459531620514,2250
./files\20130222_10-K_edgar_data_200406_0000200406-13-000038_1.txt,24757503,1037032,2.0225026807273063,14825199,2156334,337474,5.082044719931496,1925
./files\20130222_10-K_edgar_data_4962_0001193125-13-070554_1.txt,35090998,1580387,1.0465790973982954,20410278,2937161,556498,4.792412238268222,2426
./files\20130222_10-K_edgar_data_732717_0000732717-13-000017_1.txt,22401733,1041191,1.537854245762785,13065839,1822133,344685,4.839837263287908,2123
./files\20130222_10-K_edgar_data_93410_0000093410-13-000003_1.txt,55049257,1592286,1.8467787822036996,28840353,6114932,975111,4.900181876873878,2169
./files\20130225_10-K_edgar_data_1103982_0001193125-13-073227_1.txt,23386064,926761,1.9457012109918306,13628848,1615739,375515,4.820335555768963,2627
