"file name,","file size,","number of words,","% positive,","% negative,","% uncertainty,","% litigious,","% modal-weak,","% modal moderate,","% modal strong,","% constraining,","# of alphabetic,","# of digits,","# of numbers,","avg # of syllables per word,","average word length,",vocabulary
./files\20141218_10-K_edgar_data_47217_0001047469-14-009977_1.txt,49934943,2836803,0.569761100788458,0.23512383482391974,0.10719813818583807,0.19194142138174558,0.029646048738668142,0.018048486271341365,0.015122657442198135,0.0552029873064855,28641570,3868281,556937,1.4720222024581897,4.92814058642775,4730
./files\20150204_10-K_edgar_data_1467858_0001467858-15-000036_1.txt,46819360,2478933,0.63188476655077,0.275360407078368,0.9543622195517184,0.17438954582475608,0.02864135497006172,0.01625699444075334,0.0176285522843901,0.08116395239403405,27615976,4218367,690493,1.5601571321209569,5.1009301179176685,4766
./files\20150205_10-K_edgar_data_101829_0000101829-15-000005_1.txt,27624283,1628255,0.8460591246457096,0.30621739223893063,0.842189951819586,0.3293710137539882,0.04421911801284197,0.02714562522455021,0.029049503916769793,0.08911380588421347,16745672,2321273,362626,1.5686087252918002,5.13074303472122,4710
./files\20150205_10-K_edgar_data_30554_0000030554-15-000004_1.txt,30369669,1657291,0.9390626027655976,0.2854658596468574,0.2127568423409045,0.2186097673854501,0.021541177741265717,0.020334389072287243,0.0158692709970669,0.07282969617285075,18080425,2684604,421685,1.5474168386843348,5.036756369279746,4167
./files\20150210_10-K_edgar_data_731766_0000731766-15-000007_1.txt,28201532,1620212,0.6573831078895848,0.20225748235416105,0.9956104509780201,0.23824042779586868,0.03314381080994339,0.019935662740431497,0.024070924051914192,0.0728299753365609,17059266,2449185,382498,1.5707055619881842,5.123588764927059,4525
./files\20150212_10-K_edgar_data_12927_0000012927-15-000011_1.txt,29679276,1619393,0.919974336062957,0.2667048702816426,0.7064375355457261,0.2694219377260492,0.03538362831011373,0.031061021012194073,0.025750389189035647,0.09867894945822292,17819852,2569298,399573,1.5424767181283356,5.06953531354032,4043
./files\20150212_10-K_edgar_data_66740_0001104659-15-009560_1.txt,37931756,1999908,0.7617850421119372,0.2842630761015007,0.11890546965160396,0.2394110129065937,0.026101200655230142,0.026751230556605603,0.01960090164147551,0.06645305684061467,22103621,3334604,603369,1.429745268282341,4.850450120705553,4425
./files\20150212_10-K_edgar_data_86312_0001047469-15-000743_1.txt,40636541,2315711,0.7328202871601854,0.4089888591452043,0.1666874666139255,0.3883904338667476,0.055015500638896646,0.03739672178436774,0.05125855514785739,0.12311553557417139,22959421,3427095,771258,1.4652743800931982,4.883653443801925,5351
./files\20150213_10-K_edgar_data_50863_0000050863-15-000015_1.txt,36614898,1816361,0.7455015825598545,0.2761565569839916,0.9733747861796196,0.1960513356100467,0.030830875580349942,0.027417457212525486,0.019159186967788892,0.081922040827787,20908850,3385107,572982,1.5226648226866795,5.009104467669148,4510
./files\20150217_10-K_edgar_data_18230_0000018230-15-000061_1.txt,78512285,4656888,0.430695348481647,0.1742794759075159,1.12461369051607,0.129700349246106,0.018231059024825164,0.014859708887136646,0.019798629471011544,0.04711300765661532,47681970,6610463,1118775,1.5476006723803535,5.062942033392257,5155
./files\20150220_10-K_edgar_data_1103982_0001193125-15-055355_1.txt,22805919,937670,1.5531050369532993,0.716243454520247,0.28997408469930785,0.5578721725127177,0.08051873260315462,0.040312689965552914,0.05982915098062218,0.16743630488338115,12849255,1695901,332765,1.5727868013266928,4.93734682777523,4491
